,KO,difference.deter.stocha,cat
186,K08956,-21.97421321,Others
187,K00287,-21.94952672,Cofactor & Vitamin
188,K07798,-21.94853926,Others
189,K07289,-21.91454245,Others
190,K12257,-21.90368041,Others
191,K09710,-21.88336696,Others
192,K21142,-21.84443285,Cofactor & Vitamin
193,K01737,-21.82877457,Cofactor & Vitamin
194,K07102,-21.82651752,Others
195,K02881,-21.80902538,Others
196,K18303,-21.80352382,Others
197,K06204,-21.79379029,Others
198,K16091,-21.79125112,Others
199,K07165,-21.77333577,Others
200,K00145,-21.77319471,Others
201,K04764,-21.69264625,Others
202,K01770,-21.49176882,Others
203,K04767,-21.49035817,Others
204,K01557,-21.49007604,Others
205,K07003,-21.39979404,Others
206,K09931,-21.37341478,Others
207,K02501,-21.36114206,Others
208,K11744,-21.34576591,Others
209,K17450,-21.30852459,Others
210,K19693,-21.30753713,Others
211,K07137,-21.30669074,Others
212,K21469,-21.28821114,Others
213,K01029,-21.28736475,Others
214,K01679,-21.23107957,Carbon
215,K19223,-21.21711408,Others
216,K03581,-21.08789798,Others
217,K02346,-21.07590741,Others
218,K00673,-21.07477888,Others
219,K15738,-21.0595438,Others
220,K01505,-21.03612691,Others
221,K01302,-20.89887006,Others
222,K06997,-20.87079801,Others
223,K03317,-20.85499866,Others
224,K06985,-20.82339996,Others
225,K03296,-20.78785143,Others
226,K07154,-20.7871461,Others
227,K01588,-20.75343142,Others
228,K09458,-20.74539068,Others
229,K16087,-20.72352551,Others
230,K09748,-20.71999888,Others
231,K03495,-20.68416821,Others
232,K01945,-20.64593943,Others
233,K00956,-20.60855704,Sulfur
234,K07568,-20.52434087,Others
235,K01810,-20.51361989,Carbon
236,K07040,-20.47722496,Others
237,K01354,-20.4368802,Others
238,K07113,-20.43307142,Others
239,K07098,-20.36282075,Others
240,K02017,-20.34448222,Others
241,K08296,-20.33728787,Others
242,K03565,-20.33446656,Others
243,K06917,-20.32995246,Others
244,K01048,-20.29130048,Others
245,K01256,-20.28636319,Others
246,K07164,-20.25434129,Others
247,K01687,-20.2448899,Others
248,K00969,-20.23205293,Cofactor & Vitamin
249,K00147,-20.124702,Others
250,K02460,-20.09225691,Others
251,K03723,-20.08731961,Others
252,K03092,-20.03597173,Others
253,K04088,-20.01438869,Others
254,K00930,-19.9950627,Others
255,K00765,-19.929044,Others
256,K12573,-19.92100326,Others
257,K05595,-19.90520391,Others
258,K00406,-19.78896585,ATP
259,K01613,-19.75976527,Others
260,K01759,-19.7424142,Others
261,K00252,-19.73818223,Others
262,K03572,-19.71730452,Others
263,K07787,-19.65283754,Others
264,K05788,-19.63957737,Others
265,K06199,-19.63308835,Others
266,K01735,-19.62349589,Carbon
267,K03453,-19.608684,Others
268,K06999,-19.52799447,Others
269,K03498,-19.5061293,Others
270,K11752,-19.48017323,Cofactor & Vitamin
271,K03650,-19.47692872,Others
272,K07689,-19.46719519,Others
273,K01950,-19.41612944,Cofactor & Vitamin
274,K08988,-19.41401346,Others
275,K00942,-19.4085119,Others
276,K03628,-19.40710125,Others
277,K14742,-19.38495394,Others
278,K01284,-19.38100411,Others
279,K02500,-19.33036155,Others
280,K10805,-19.31879417,Others
281,K05592,-19.31159983,Others
282,K02916,-19.30623933,Others
283,K02203,-19.28014219,Others
284,K00164,-19.28000112,Carbon
285,K00013,-19.23514227,Others
286,K02160,-19.23415481,Carbon
287,K00631,-19.21835546,Others
288,K08973,-19.20227398,Cofactor & Vitamin
289,K03544,-19.18746209,Others
290,K03327,-19.17956242,Others
291,K00833,-19.14711732,Cofactor & Vitamin
292,K05802,-19.14288536,Others
293,K01798,-19.13639634,Others
294,K07323,-19.00802663,Others
295,K08682,-18.97939031,Others
296,K25307,-18.95145932,Others
297,K00860,-18.95004867,Sulfur
298,K16692,-18.94638096,Others
299,K03560,-18.94525243,Others
300,K01963,-18.92917096,Carbon
301,K03587,-18.86738422,Others
302,K07672,-18.85920242,Others
303,K01920,-18.83127142,Others
304,K03524,-18.82351282,Others
305,K02040,-18.7813342,Others
306,K01662,-18.74296435,Others
307,K01749,-18.69768229,Cofactor & Vitamin
308,K03496,-18.68301147,Others
309,K00324,-18.67186729,Others
310,K03324,-18.66396761,Others
311,K02108,-18.6529645,ATP
312,K00931,-18.54787061,Others
313,K14652,-18.52276094,Cofactor & Vitamin
314,K11354,-18.40892099,Others
315,K01962,-18.38423451,Others
316,K00684,-18.32541015,Others
317,K13789,-18.32131924,Others
318,K18691,-18.28309047,Others
319,K19222,-18.25953251,Cofactor & Vitamin
320,K04516,-18.25487734,Carbon
321,K11753,-18.19041036,Cofactor & Vitamin
322,K01495,-18.1857552,Cofactor & Vitamin
323,K02495,-18.18053577,Cofactor & Vitamin
324,K19092,-18.15669568,Others
325,K06447,-18.12241674,Others
326,K02437,-18.1102851,Carbon
327,K06168,-18.09236976,Others
328,K17103,-18.02973663,Others
329,K03750,-18.01323196,Cofactor & Vitamin
330,K23054,-17.96541071,Others
331,K07019,-17.91631988,Others
332,K00325,-17.91194684,Others
333,K00975,-17.90362398,Carbon
334,K06203,-17.89840455,Others
335,K02888,-17.85622593,Others
336,K02111,-17.84070871,ATP
337,K01579,-17.77722918,Cofactor & Vitamin
338,K01736,-17.75155525,Carbon
339,K03386,-17.74055213,Others
340,K07052,-17.71769951,Others
341,K02342,-17.69893778,Others
342,K03517,-17.66959613,Cofactor & Vitamin
343,K01028,-17.6688908,Others
344,K03179,-17.6504112,Cofactor & Vitamin
345,K00243,-17.61895358,Others
346,K00508,-17.61754292,Others
347,K00382,-17.61387521,Others
348,K08316,-17.60922004,Others
349,K13444,-17.60752727,Others
350,K07152,-17.59469029,Others
351,K00677,-17.56633611,Others
352,K03637,-17.53995683,Cofactor & Vitamin
353,K00507,-17.5171042,Others
354,K00793,-17.50596002,Cofactor & Vitamin
355,K11991,-17.50412617,Others
356,K01772,-17.50271551,Cofactor & Vitamin
357,K21057,-17.47083469,Others
358,K00220,-17.45531747,Carbon
359,K01653,-17.44149303,Others
360,K06167,-17.44008238,Others
361,K00014,-17.42301344,Carbon
362,K05515,-17.42202598,Others
363,K00067,-17.39762164,Others
364,K00991,-17.38210442,Others
365,K03501,-17.3702549,Others
366,K00620,-17.36940851,Others
367,K00432,-17.3657408,Others
368,K03656,-17.30733965,Others
369,K02613,-17.28942431,Others
370,K02536,-17.28491021,Others
371,K00954,-17.28392275,Cofactor & Vitamin
372,K13038,-17.26741808,Cofactor & Vitamin
373,K21573,-17.21917364,Others
374,K01921,-17.21508273,Others
375,K00605,-17.16937748,Carbon
376,K13628,-17.14215181,Others
377,K06941,-17.13876625,Others
378,K09125,-17.13284149,Others
379,K03555,-17.05201089,Others
380,K02742,-17.03959712,Others
381,K18979,-17.02139966,Others
382,K00674,-17.01265358,Others
383,K02844,-16.98726178,Others
384,K07004,-16.97259095,Others
385,K01599,-16.966243,Cofactor & Vitamin
386,K00887,-16.96412702,Others
387,K14058,-16.9486098,Others
388,K03979,-16.93365684,Others
389,K07027,-16.91122742,Others
390,K08976,-16.90276347,Others
391,K02619,-16.88259109,Others
392,K03575,-16.84746576,Others
393,K02687,-16.83815543,Others
394,K06998,-16.80472287,Others
395,K18138,-16.79400189,Others
396,K02453,-16.76367278,Others
397,K02913,-16.76169787,Others
398,K00955,-16.75859442,Sulfur
399,K00425,-16.75577311,ATP
400,K10012,-16.74773237,Carbon
401,K05837,-16.72389229,Others
402,K03752,-16.64574194,Others
403,K02192,-16.64503661,Others
404,K19159,-16.63177644,Others
405,K03624,-16.628673,Others
406,K07394,-16.6233125,Others
407,K06872,-16.62091439,Others
408,K07705,-16.62006799,Others
409,K06076,-16.61893947,Others
410,K16238,-16.60215266,Others
411,K15866,-16.58973889,Others
412,K03113,-16.55729379,Others
413,K15034,-16.5261183,Others
414,K00457,-16.50397099,Carbon
415,K04761,-16.47716853,Others
416,K01845,-16.4764632,Cofactor & Vitamin
417,K13017,-16.45911214,Others
418,K18573,-16.45121246,Others
419,K03177,-16.44669836,Others
420,K07056,-16.43964508,Others
421,K20920,-16.41354794,Others
422,K19701,-16.3973254,Others
423,K06921,-16.3739085,Others
424,K00209,-16.35796809,Others
425,K25137,-16.35274866,Others
426,K03466,-16.3156484,Others
427,K03665,-16.31000579,Others
428,K06200,-16.30365783,Others
429,K21900,-16.29618135,Others
430,K04759,-16.26825036,Others
431,K01647,-16.25724724,Carbon
432,K02452,-16.24709052,Others
433,K01573,-16.24624413,Others
434,K01952,-16.23298396,Others
435,K00263,-16.21831314,Others
436,K03118,-16.21196519,Others
437,K00748,-16.19503731,Others
438,K04487,-16.16245116,Others
439,K02133,-16.15116591,ATP
440,K04752,-16.14143238,Others
441,K02429,-16.13310951,Others
442,K04087,-16.12817221,Others
443,K00240,-16.09756098,Carbon
444,K02527,-16.00318808,Others
445,K00971,-15.99105644,Others
446,K03638,-15.99063325,Cofactor & Vitamin
447,K11749,-15.96778062,Others
448,K03925,-15.93053929,Others
449,K03811,-15.91812553,Others
450,K03570,-15.8989406,Others
451,K07264,-15.85394067,Others
452,K03590,-15.84378395,Others
453,K03154,-15.82276517,Cofactor & Vitamin
454,K02099,-15.82149558,Others
455,K01895,-15.81740468,Others
