,KO,difference.deter.stocha,cat
1933,K24326,-4.631466094,Others
1934,K18320,-4.630055439,Others
1935,K09136,-4.628644783,Others
1936,K03528,-4.62624666,Others
1937,K03604,-4.62582347,Others
1938,K07661,-4.607908138,Others
1939,K17472,-4.60692067,Others
1940,K05708,-4.606497482,Others
1941,K05812,-4.606497482,Others
1942,K00247,-4.60551003,Carbon
1943,K03442,-4.60297085,Others
1944,K17217,-4.591403462,Others
1945,K07043,-4.589992806,Others
1946,K07462,-4.58914641,Others
1947,K09922,-4.588582149,Others
1948,K03389,-4.586184039,Others
1949,K11959,-4.583362725,Others
1950,K23498,-4.583362725,Others
1951,K11903,-4.574898786,Others
1952,K06871,-4.57250067,Others
1953,K00197,-4.572077473,Others
1954,K11689,-4.57010255,Others
1955,K15257,-4.56967935,Others
1956,K02521,-4.569256161,Others
1957,K05917,-4.569256161,Others
1958,K25072,-4.569256161,Others
1959,K22934,-4.56587059,Others
1960,K15669,-4.565447393,Others
1961,K01129,-4.56192075,Others
1962,K16431,-4.55458534,Others
1963,K03643,-4.55218722,Others
1964,K10857,-4.551340828,Others
1965,K00158,-4.54894272,Others
1966,K21159,-4.53102738,Others
1967,K11811,-4.530604184,Others
1968,K25622,-4.530604184,Others
1969,K22107,-4.525384758,Others
1970,K03208,-4.52383304,Others
1971,K04751,-4.52242238,Others
1972,K23555,-4.521152788,Others
1973,K00020,-4.51819041,Others
1974,K20455,-4.512688852,Others
1975,K05794,-4.51029074,Others
1976,K06858,-4.51029074,Others
1977,K01208,-4.507469427,Others
1978,K14470,-4.497594832,Carbon
1979,K24404,-4.49378606,Others
1980,K14260,-4.48433466,Others
1981,K03972,-4.48362934,Others
1982,K07054,-4.479679499,Others
1983,K11893,-4.479679499,Others
1984,K22211,-4.479679499,Others
1985,K01086,-4.478268843,Carbon
1986,K04565,-4.46924065,Others
1987,K03616,-4.46500868,Others
1988,K02805,-4.464585478,Others
1989,K00359,-4.46359802,Others
1990,K19157,-4.45936605,Others
1991,K25623,-4.45936605,Others
1992,K08320,-4.44991466,Others
1993,K02231,-4.44286137,Cofactor & Vitamin
1994,K01058,-4.442438178,Others
1995,K15428,-4.441027522,Others
1996,K22270,-4.441027522,Others
1997,K20851,-4.439616866,Others
1998,K09913,-4.438206209,Others
1999,K15518,-4.43806514,Others
2000,K07064,-4.4362313,Others
2001,K00588,-4.42861375,Others
2002,K07223,-4.427344158,Others
2003,K16216,-4.423112189,Others
2004,K03098,-4.418880221,Others
2005,K09456,-4.41789277,Others
2006,K00316,-4.40801817,Others
2007,K03319,-4.40703071,Others
2008,K13877,-4.402375545,Others
2009,K01190,-4.39193669,Others
2010,K12146,-4.385870868,Others
2011,K22721,-4.383049557,Others
2012,K13634,-4.38065145,Others
2013,K21200,-4.380228244,Others
2014,K03783,-4.37909972,Others
2015,K11962,-4.375008818,Others
2016,K01400,-4.36978939,Others
2017,K05913,-4.365134224,Others
2018,K14661,-4.365134224,Others
2019,K05020,-4.363723568,Others
2020,K17382,-4.352861516,Others
2021,K01724,-4.35018127,Others
2022,K10094,-4.350040203,Others
2023,K05299,-4.34764209,Carbon
2024,K12285,-4.34764209,Others
2025,K18940,-4.347218892,Others
2026,K21024,-4.34665463,Others
2027,K01425,-4.345808236,Others
2028,K09926,-4.345808236,Others
2029,K02548,-4.34566717,Cofactor & Vitamin
2030,K03586,-4.33720323,Others
2031,K07038,-4.33720323,Others
2032,K19200,-4.334946184,Others
2033,K01834,-4.32732864,Carbon
2034,K03892,-4.32577691,Others
2035,K07280,-4.322673479,Others
2036,K11751,-4.32210922,Others
2037,K02033,-4.31914684,Others
2038,K01783,-4.31900577,Carbon
2039,K13529,-4.31745405,Others
2040,K06013,-4.31322208,Others
2041,K00840,-4.305745602,Others
2042,K03718,-4.30137257,Others
2043,K08369,-4.300526177,Others
2044,K02395,-4.2971406,Others
2045,K00021,-4.296294206,Others
2046,K19954,-4.29530675,Others
2047,K06918,-4.286419613,Others
2048,K09680,-4.286419613,Cofactor & Vitamin
2049,K11163,-4.286419613,Others
2050,K01809,-4.2844447,Carbon
2051,K01969,-4.28430363,Others
2052,K21672,-4.27273625,Others
2053,K01821,-4.26751683,Others
2054,K06890,-4.26511871,Others
2055,K02339,-4.25707797,Others
2056,K01826,-4.254820917,Carbon
2057,K00925,-4.2524228,Carbon
2058,K07473,-4.2524228,Others
2059,K09903,-4.2487551,Others
2060,K01087,-4.23873944,Others
2061,K06924,-4.220400909,Others
2062,K00819,-4.21842599,Others
2063,K09912,-4.217579596,Others
2064,K01489,-4.21602787,Others
2065,K19337,-4.21377082,Others
2066,K21088,-4.191623528,Others
2067,K01555,-4.187391558,Carbon
2068,K03188,-4.187391558,Others
2069,K19665,-4.183159587,Others
2070,K14160,-4.1765295,Others
2071,K06954,-4.176106307,Others
2072,K03885,-4.17596524,Others
2073,K02455,-4.17511884,Others
2074,K11891,-4.161012287,Others
2075,K21006,-4.156780318,Others
2076,K00249,-4.15381794,Others
2077,K01424,-4.14634146,Others
2078,K00528,-4.138864986,Others
2079,K01580,-4.136043673,Others
2080,K00449,-4.1326581,Others
2081,K12255,-4.132234905,Others
2082,K05810,-4.13152958,Others
2083,K05367,-4.128002934,Others
2084,K07110,-4.123770966,Others
2085,K21908,-4.120949654,Others
2086,K16331,-4.118128341,Others
2087,K05997,-4.116717686,Others
2088,K18244,-4.11643556,Others
2089,K07183,-4.100213009,Others
2090,K10834,-4.100213009,Others
2091,K02660,-4.09400612,Others
2092,K00675,-4.090761614,Others
2093,K06900,-4.090761614,Others
2094,K07121,-4.08413153,Others
2095,K20429,-4.082297677,Others
2096,K21822,-4.079476365,Others
2097,K12405,-4.075667595,Others
2098,K18369,-4.067203656,Others
2099,K15862,-4.064382345,ATP
2100,K07301,-4.06353595,Others
2101,K01497,-4.06240742,Cofactor & Vitamin
2102,K02280,-4.06240742,Others
2103,K10255,-4.05535415,Others
2104,K19055,-4.05535415,Others
2105,K06903,-4.047877667,Others
2106,K12252,-4.047877667,Others
2107,K18045,-4.047877667,Others
2108,K07106,-4.04632594,Others
2109,K13936,-4.039836931,Others
2110,K01095,-4.03066766,Others
2111,K04749,-4.03024446,Others
2112,K03385,-4.029962335,Nitrogen
2113,K11900,-4.029962335,Others
2114,K22345,-4.02897487,Others
2115,K21064,-4.02756422,Cofactor & Vitamin
2116,K17677,-4.027141024,Others
2117,K19727,-4.027141024,Others
2118,K13653,-4.025730367,Others
2119,K18765,-4.022909055,Others
2120,K19811,-4.022909055,Others
2121,K11068,-4.01994668,Others
2122,K14981,-4.01529151,Others
2123,K06968,-4.009225691,Others
2124,K18909,-4.00541692,Others
2125,K25525,-4.00400627,Others
2126,K00038,-3.99836364,Others
2127,K03828,-3.99497806,Others
2128,K02876,-3.99469593,Others
2129,K00529,-3.99173355,Others
2130,K03314,-3.988489046,Others
2131,K03613,-3.98750158,Others
2132,K09822,-3.985667734,Others
2133,K14983,-3.985667734,Others
2134,K05898,-3.973395026,Others
2135,K19416,-3.97240756,Others
2136,K02535,-3.97085584,Others
2137,K05564,-3.967752401,Others
2138,K21164,-3.96676495,Others
2139,K02996,-3.96309724,Others
2140,K00363,-3.96295617,Nitrogen
2141,K03189,-3.962532976,Others
2142,K02233,-3.9587242,Cofactor & Vitamin
2143,K10106,-3.955479694,Others
2144,K18331,-3.943206987,Others
2145,K06952,-3.934743049,Others
2146,K02451,-3.93093427,Others
2147,K05339,-3.930511081,Others
2148,K09893,-3.929100425,Others
2149,K14319,-3.929100425,Others
2150,K23998,-3.929100425,Others
2151,K00600,-3.92867723,Carbon
2152,K17722,-3.92289354,Others
2153,K01858,-3.92134182,Others
2154,K04017,-3.918238373,Others
2155,K18968,-3.916827716,Others
2156,K06899,-3.909774436,Others
2157,K09918,-3.909774436,Others
2158,K03409,-3.90921018,Others
2159,K10125,-3.905965667,Others
2160,K06992,-3.901733696,Others
2161,K22452,-3.90060517,Others
2162,K13278,-3.894680416,Others
2163,K01938,-3.89030739,Cofactor & Vitamin
2164,K18903,-3.876765084,Others
2165,K18800,-3.87577762,Cofactor & Vitamin
2166,K02988,-3.86223532,Others
2167,K02671,-3.86153,Others
2168,K22405,-3.857439095,Others
2169,K09834,-3.854617782,Cofactor & Vitamin
2170,K03823,-3.849398357,Others
2171,K16365,-3.843755731,Others
2172,K01900,-3.838113106,Carbon
2173,K15372,-3.838113106,Others
2174,K01009,-3.83557393,Others
2175,K18141,-3.835291794,Others
2176,K22067,-3.835291794,Others
2177,K22905,-3.830072368,Others
2178,K12994,-3.82386548,Others
2179,K02933,-3.82358335,Others
2180,K21021,-3.82062097,Others
2181,K11906,-3.820197774,Others
2182,K18237,-3.810746379,Others
2183,K22837,-3.798050474,Others
2184,K24121,-3.787188421,Others
2185,K02961,-3.78634203,Others
2186,K02598,-3.780135141,Others
2187,K18815,-3.769273089,Others
2188,K11356,-3.767862433,Others
2189,K17341,-3.763630465,Others
2190,K07799,-3.760809152,Others
2191,K18574,-3.759398496,Others
2192,K07139,-3.755589727,Others
2193,K03077,-3.748536444,Carbon
2194,K11896,-3.747125788,Others
2195,K13543,-3.74331701,Cofactor & Vitamin
2196,K12997,-3.74289382,Others
2197,K03825,-3.7277998,Others
2198,K14979,-3.724978488,Others
2199,K01965,-3.72399103,Carbon
2200,K05562,-3.723567831,Others
2201,K21973,-3.723567831,Others
2202,K19746,-3.721169719,Others
2203,K14273,-3.719759063,Others
2204,K00797,-3.70960233,Others
2205,K07215,-3.704241843,Others
2206,K02016,-3.690558479,Others
2207,K01192,-3.689147823,Others
2208,K21902,-3.68632651,Others
2209,K12442,-3.675464459,Others
2210,K03824,-3.674477,Others
2211,K24160,-3.674053803,Others
2212,K20534,-3.6686933,Others
2213,K24868,-3.668411178,Others
2214,K10544,-3.667000521,Others
2215,K19271,-3.667000521,Others
2216,K02015,-3.66601307,Others
2217,K08060,-3.665589866,Others
2218,K03112,-3.661781096,Others
2219,K03071,-3.65980618,Others
2220,K16870,-3.65726699,Others
2221,K09793,-3.65091904,Others
2222,K24206,-3.649085189,Others
2223,K03316,-3.64894413,Others
2224,K16345,-3.647674534,Others
2225,K02364,-3.639633794,Others
2226,K00569,-3.638223138,Others
2227,K05884,-3.638223138,Others
2228,K14588,-3.636812482,Others
2229,K03427,-3.63526076,Others
2230,K01480,-3.63102879,Others
2231,K00895,-3.629759201,Others
2232,K06518,-3.629759201,Others
2233,K10543,-3.629759201,Others
2234,K21741,-3.629759201,Others
2235,K00065,-3.61974354,Others
2236,K05521,-3.61932034,Others
2237,K18855,-3.61861502,Others
2238,K02199,-3.61424198,Others
2239,K11928,-3.61311345,Others
2240,K16444,-3.609022556,Others
2241,K01574,-3.602392473,Others
2242,K07093,-3.5985837,Others
2243,K07155,-3.598160504,Others
2244,K08299,-3.59435173,Others
2245,K20051,-3.593928536,Others
2246,K19804,-3.59378747,Others
2247,K05561,-3.59251788,Others
2248,K18306,-3.590119768,Others
2249,K13532,-3.581655828,Others
2250,K01194,-3.57742386,Others
2251,K02362,-3.57742386,Others
2252,K00879,-3.574602548,Others
2253,K24469,-3.574602548,Others
2254,K18333,-3.571781235,Others
2255,K07066,-3.566561809,Others
2256,K07658,-3.56388156,Others
2257,K01740,-3.56317623,Others
2258,K07117,-3.55852106,Others
2259,K00481,-3.558097872,Others
2260,K23007,-3.555276559,Others
2261,K06078,-3.553865903,Others
2262,K24078,-3.553865903,Others
2263,K07790,-3.550057134,Others
2264,K04477,-3.545825163,Others
2265,K22132,-3.538771883,Others
2266,K04712,-3.534539914,Others
2267,K20967,-3.534539914,Cofactor & Vitamin
2268,K00335,-3.53242393,ATP
2269,K17723,-3.52974369,Others
2270,K03829,-3.523677863,Others
2271,K21137,-3.522267207,Others
2272,K03350,-3.51845843,Others
2273,K02919,-3.51323901,Others
2274,K13693,-3.507173187,Others
2275,K22476,-3.507173187,Others
2276,K14159,-3.50519827,Others
2277,K11901,-3.502941218,Others
2278,K18824,-3.497298594,Others
2279,K04773,-3.48798826,Others
2280,K02423,-3.483615229,Others
2281,K09801,-3.47980646,Others
2282,K24244,-3.477972605,Others
2283,K00633,-3.469931866,Others
2284,K11329,-3.469931866,Others
2285,K07740,-3.467110553,Others
2286,K21405,-3.465699897,Others
2287,K22441,-3.46414817,Others
2288,K08964,-3.461467929,Others
2289,K02302,-3.45526104,Cofactor & Vitamin
2290,K20498,-3.447784564,Others
2291,K21054,-3.447784564,Others
2292,K05518,-3.440731284,Others
2293,K14348,-3.440731284,Others
2294,K01262,-3.436922515,Others
2295,K18904,-3.432690544,Others
2296,K07065,-3.42606046,Others
2297,K07321,-3.425637264,Others
2298,K11739,-3.424226608,Others
2299,K14667,-3.421405295,Others
2300,K20680,-3.421405295,Others
2301,K11960,-3.417596526,Others
2302,K01479,-3.411953899,Others
2303,K01835,-3.411953899,Carbon
2304,K04763,-3.40729873,Others
2305,K05364,-3.398270537,Others
2306,K00372,-3.391217255,Nitrogen
2307,K21009,-3.386985287,Others
2308,K25495,-3.38557463,Others
2309,K03793,-3.38543357,Others
2310,K04568,-3.37654643,Others
2311,K16921,-3.373301923,Others
2312,K05563,-3.367659298,Others
2313,K16905,-3.367659298,Others
2314,K03617,-3.36667184,Others
2315,K14977,-3.366248642,Others
2316,K01136,-3.352565278,Others
2317,K22489,-3.35157782,Others
2318,K18307,-3.348333309,Others
2319,K18326,-3.346922654,Others
2320,K04564,-3.34621733,Others
2321,K01993,-3.34029257,Others
2322,K20453,-3.334649946,Others
2323,K05560,-3.329007322,Others
2324,K11210,-3.319555926,Others
2325,K01182,-3.318145269,Others
2326,K01829,-3.318145269,Others
2327,K22066,-3.312502645,Others
2328,K15537,-3.311091989,Others
2329,K03737,-3.31010453,Carbon
2330,K05596,-3.309681333,Others
2331,K10859,-3.309681333,Others
2332,K23083,-3.309681333,Others
2333,K23529,-3.308270677,Others
2334,K19339,-3.305872563,Others
2335,K06176,-3.3048851,Others
2336,K21011,-3.293176657,Others
2337,K22615,-3.293176657,Others
2338,K15782,-3.290355344,Others
2339,K16088,-3.290355344,Others
2340,K17462,-3.289367888,Others
2341,K01815,-3.272440012,Others
2342,K13498,-3.272440012,Carbon
2343,K18140,-3.272440012,Others
2344,K00375,-3.27145256,Others
2345,K08138,-3.271029356,Others
2346,K18321,-3.271029356,Others
2347,K11961,-3.267220586,Others
2348,K09019,-3.265809929,Others
2349,K09936,-3.26157796,Others
2350,K10126,-3.26157796,Others
2351,K01288,-3.260167303,Others
2352,K19091,-3.254524679,Others
2353,K25497,-3.254524679,Others
2354,K17623,-3.253114023,Others
2355,K10773,-3.24986952,Others
2356,K01053,-3.24591968,Carbon
2357,K23351,-3.24493222,Others
2358,K07479,-3.240841316,Others
2359,K12111,-3.240841316,Others
2360,K06886,-3.23928959,Others
2361,K01854,-3.238020003,Others
2362,K15549,-3.238020003,Others
2363,K02469,-3.2375968,Others
2364,K07266,-3.233788034,Others
2365,K08762,-3.233788034,Others
2366,K09689,-3.233788034,Others
2367,K18841,-3.228568608,Others
2368,K02398,-3.22758115,Others
2369,K03571,-3.22504197,Others
2370,K03795,-3.22475983,Cofactor & Vitamin
2371,K11895,-3.221515327,Others
2372,K00034,-3.2203868,Others
2373,K06205,-3.214462047,Others
2374,K03303,-3.212063933,Others
2375,K25181,-3.212063933,Others
2376,K13049,-3.210653276,Others
2377,K02615,-3.209242619,Others
2378,K22819,-3.20402319,Others
2379,K03451,-3.203599994,Others
2380,K07452,-3.199368026,Others
2381,K08983,-3.196546714,Others
2382,K22347,-3.196546714,Others
2383,K07282,-3.19175048,Others
2384,K13888,-3.191327287,Others
2385,K13998,-3.177220726,Others
2386,K08641,-3.17101384,Others
2387,K09994,-3.164948017,Others
2388,K06320,-3.16396055,Others
2389,K09788,-3.163537361,Others
2390,K20543,-3.16339629,Others
2391,K11923,-3.162126706,Others
2392,K00018,-3.16113925,Others
2393,K00198,-3.160716049,Carbon
2394,K03549,-3.160716049,Others
2395,K11747,-3.160716049,Others
2396,K21010,-3.160716049,Others
2397,K00289,-3.157894737,Others
2398,K03603,-3.157894737,Others
2399,K09909,-3.157894737,Others
2400,K04756,-3.154085967,Others
2401,K12253,-3.147032685,Others
2402,K18933,-3.145622028,Others
2403,K24327,-3.14463457,Others
2404,K09964,-3.141390061,Others
2405,K08993,-3.139979404,Others
2406,K09688,-3.139979404,Others
2407,K01597,-3.138991948,Others
2408,K04044,-3.133349321,Others
2409,K00876,-3.1313744,Others
2410,K00245,-3.1309512,Carbon
2411,K02399,-3.129117352,Others
2412,K13019,-3.12812989,Others
2413,K24485,-3.126296041,Others
2414,K05803,-3.12573177,Others
2415,K03796,-3.12389792,Others
2416,K02297,-3.120653416,ATP
2417,K02182,-3.119665959,Others
2418,K24310,-3.119665959,Others
2419,K17321,-3.11120202,Others
2420,K00311,-3.11106095,Others
2421,K03411,-3.10640579,Others
2422,K10107,-3.102738083,Others
2423,K18480,-3.100339971,Others
2424,K05605,-3.090465376,Carbon
2425,K12988,-3.090465376,Others
2426,K16885,-3.087644063,Others
2427,K18398,-3.087644063,Others
2428,K14194,-3.0866566,Others
2429,K01002,-3.086233407,Others
2430,K01308,-3.084822751,Others
2431,K20246,-3.084822751,Others
2432,K07290,-3.07438389,Others
2433,K07710,-3.0657789,Others
2434,K09799,-3.064086107,Others
2435,K13043,-3.064086107,Others
2436,K16304,-3.064086107,Others
2437,K22685,-3.064086107,Others
2438,K08217,-3.05872561,Others
2439,K09929,-3.05223659,Others
2440,K00284,-3.051813398,Others
2441,K09797,-3.048992086,Others
2442,K16693,-3.04758143,Others
2443,K19745,-3.04419586,Others
2444,K08302,-3.042362004,Others
2445,K15634,-3.04038708,Carbon
2446,K00046,-3.035308722,Others
2447,K12537,-3.035308722,Others
2448,K01739,-3.03248741,Others
2449,K05358,-3.03248741,Others
2450,K09257,-3.028255442,Others
2451,K09701,-3.028255442,Others
2452,K22101,-3.028255442,Cofactor & Vitamin
2453,K22470,-3.028255442,Others
2454,K02298,-3.026844786,ATP
2455,K02300,-3.026844786,ATP
2456,K22250,-3.026844786,Others
2457,K00394,-3.015982733,Sulfur
2458,K12261,-3.015982733,Others
2459,K07785,-3.014572077,Others
2460,K14170,-3.01386675,Carbon
2461,K03974,-3.01076331,Others
2462,K10442,-3.010340109,Others
2463,K13239,-3.008929453,Others
2464,K13046,-3.007518797,Others
2465,K23517,-3.007518797,Others
2466,K03980,-3.00201724,Others
2467,K07307,-2.998067401,Others
2468,K23010,-2.992424777,Others
2469,K03468,-2.989603465,Others
2470,K19576,-2.988616008,Others
2471,K20034,-2.98621789,Others
2472,K11907,-2.977330756,Others
2473,K01800,-2.975920101,Carbon
2474,K04091,-2.974509445,Others
2475,K23718,-2.971688132,Others
2476,K06156,-2.970277476,Others
2477,K06966,-2.96265993,Others
2478,K21304,-2.962236736,Others
2479,K01185,-2.958004768,Others
2480,K18785,-2.9570173,Others
2481,K16705,-2.955183456,Others
2482,K19310,-2.954196,Others
2483,K01135,-2.9537728,Others
2484,K13654,-2.9537728,Others
2485,K21977,-2.9537728,Cofactor & Vitamin
2486,K23774,-2.9537728,Others
2487,K07498,-2.94615526,Others
2488,K18169,-2.941500092,Others
2489,K01427,-2.940089436,Others
2490,K11021,-2.93910197,Others
2491,K09939,-2.93867878,Others
2492,K02784,-2.93755025,Others
2493,K08985,-2.934446811,Others
2494,K18650,-2.934446811,Others
2495,K19710,-2.93331829,Others
2496,K08995,-2.933036155,Others
2497,K22320,-2.92823993,Others
2498,K10942,-2.920763447,Others
2499,K21728,-2.919352791,Others
2500,K22317,-2.91695468,Others
2501,K25224,-2.915120822,Others
2502,K13819,-2.91413337,Others
2503,K00564,-2.91272271,Others
2504,K08321,-2.91272271,Others
2505,K17686,-2.91258164,Others
2506,K13527,-2.908490739,Others
2507,K22699,-2.901437459,Cofactor & Vitamin
2508,K17228,-2.90045,Others
2509,K15983,-2.900026802,Others
2510,K18234,-2.900026802,Others
2511,K01792,-2.898616146,Others
2512,K08714,-2.898616146,Others
2513,K01079,-2.89847509,Others
2514,K07862,-2.89720549,Others
2515,K15532,-2.89720549,Others
2516,K09164,-2.8909986,Others
2517,K01529,-2.886343439,Others
2518,K01654,-2.883522126,Others
2519,K12942,-2.883522126,Others
2520,K09516,-2.880700814,Others
2521,K02485,-2.87971336,Others
2522,K13059,-2.879290158,Others
2523,K21699,-2.879290158,Others
2524,K13777,-2.8783027,Others
2525,K00832,-2.877879502,Carbon
2526,K13663,-2.877879502,Others
2527,K19658,-2.877879502,Others
2528,K05361,-2.876468846,Others
2529,K07084,-2.876468846,Others
2530,K07130,-2.87153155,Carbon
2531,K06988,-2.87026196,Others
2532,K05715,-2.865606794,Others
2533,K09122,-2.86038737,Others
2534,K15270,-2.85982311,Others
2535,K06933,-2.858553513,Others
2536,K21379,-2.858553513,Others
2537,K21745,-2.858553513,Others
2538,K03721,-2.857142857,Others
2539,K14250,-2.857142857,Others
2540,K00392,-2.85234663,Sulfur
2541,K00886,-2.847691461,Carbon
2542,K03867,-2.84529334,Others
2543,K02600,-2.84444695,Others
2544,K12961,-2.843459493,Others
2545,K06140,-2.839227525,Others
2546,K06236,-2.839227525,Others
2547,K12599,-2.839227525,Others
2548,K03366,-2.83104572,Others
2549,K12600,-2.82878867,Others
2550,K07588,-2.8286476,Others
2551,K14761,-2.828365472,Others
2552,K00995,-2.82596735,Others
2553,K12957,-2.824133505,Others
2554,K07489,-2.822722848,Others
2555,K13979,-2.822722848,Others
2556,K22856,-2.821312192,Others
2557,K00227,-2.819901536,Others
2558,K16049,-2.819901536,Others
2559,K02673,-2.81411785,Others
2560,K11897,-2.804807516,Others
2561,K01584,-2.80339686,Others
2562,K06595,-2.789713496,Others
2563,K09181,-2.786892184,Others
2564,K04343,-2.785481527,Others
2565,K07077,-2.785481527,Others
2566,K03500,-2.77955677,Others
2567,K04655,-2.777440788,Others
2568,K11208,-2.774619475,Others
2569,K12444,-2.771798164,Others
2570,K12235,-2.767566195,Others
2571,K17752,-2.766155539,Others
2572,K06378,-2.76601448,Others
2573,K06145,-2.764744882,Others
2574,K06876,-2.764744882,Others
2575,K07147,-2.7622057,Others
2576,K21962,-2.753882831,Others
2577,K23359,-2.75233111,Others
2578,K11902,-2.749650862,Others
2579,K05568,-2.7490866,Others
2580,K01181,-2.748240206,Others
2581,K18554,-2.748240206,Others
2582,K20444,-2.748240206,Others
2583,K01146,-2.74682955,Others
2584,K12266,-2.745418895,Others
2585,K25035,-2.745418895,Others
2586,K08738,-2.74203332,Others
2587,K18967,-2.741610124,Others
2588,K11066,-2.73639069,Others
2589,K05973,-2.734556842,Others
2590,K06118,-2.73173553,Others
2591,K00435,-2.73074807,Cofactor & Vitamin
2592,K17285,-2.730324874,Others
2593,K22769,-2.728914218,Others
2594,K03817,-2.72792676,Others
2595,K01083,-2.727503562,Others
2596,K18345,-2.727503562,Others
2597,K21645,-2.727503562,Others
2598,K10111,-2.726092906,Others
2599,K18590,-2.726092906,Others
2600,K07506,-2.723694792,Others
2601,K07709,-2.71974495,Others
2602,K03255,-2.715230854,Others
2603,K02189,-2.712409541,Cofactor & Vitamin
2604,K05835,-2.71142208,Others
2605,K12446,-2.70958823,Others
2606,K03222,-2.706766917,Others
2607,K03764,-2.706766917,Others
2608,K09891,-2.706766917,Others
2609,K05986,-2.702958147,Others
2610,K12708,-2.690262241,Others
2611,K25223,-2.688851585,Others
2612,K03970,-2.687864128,Others
2613,K04486,-2.686453471,Others
2614,K06606,-2.683632158,Others
2615,K05889,-2.680810845,Others
2616,K09984,-2.677989533,Others
2617,K11499,-2.673757565,Others
2618,K24301,-2.670936252,Others
2619,K13057,-2.6699488,Others
2620,K08325,-2.669525596,Others
2621,K19714,-2.669525596,Others
2622,K11779,-2.66190805,Others
2623,K00187,-2.657252889,Others
2624,K04774,-2.655842232,Others
2625,K21454,-2.655842232,Others
2626,K07228,-2.654431576,Others
2627,K23002,-2.654431576,Others
2628,K00702,-2.65302092,Others
2629,K16906,-2.65302092,Others
2630,K09251,-2.65203346,Others
2631,K18059,-2.651610264,Others
2632,K21700,-2.647801494,Others
2633,K01337,-2.64498018,Others
2634,K08764,-2.636516244,Others
2635,K09895,-2.629886162,Others
2636,K14266,-2.621422224,Others
2637,K07485,-2.62043476,Others
2638,K01811,-2.620011568,Others
2639,K14188,-2.620011568,Others
2640,K00883,-2.614368943,Carbon
2641,K05517,-2.612958287,Others
2642,K07751,-2.612958287,Others
2643,K22486,-2.61197083,Others
2644,K14153,-2.600685579,Cofactor & Vitamin
2645,K18133,-2.595042955,Others
2646,K14540,-2.591234184,Others
2647,K01266,-2.589823527,Others
2648,K20285,-2.585591559,Others
2649,K14479,-2.582770246,Others
2650,K15734,-2.58135959,Others
2651,K07085,-2.577127622,Others
2652,K13289,-2.577127622,Others
2653,K14728,-2.57614017,Others
2654,K23239,-2.575716966,Others
2655,K25496,-2.575716966,Others
2656,K03642,-2.57501164,Others
2657,K22622,-2.571908195,Sulfur
2658,K07172,-2.56287999,Others
2659,K18905,-2.562033601,Others
2660,K05665,-2.556390977,Others
2661,K13053,-2.556390977,Others
2662,K14616,-2.556390977,Others
2663,K18764,-2.556390977,Others
2664,K19227,-2.556390977,Others
2665,K07010,-2.55201794,Others
2666,K00499,-2.545528925,Others
2667,K22737,-2.544118269,Others
2668,K14161,-2.54214336,Others
2669,K01183,-2.539886301,Others
2670,K15125,-2.539886301,Others
2671,K16887,-2.539886301,Others
2672,K09753,-2.538475645,Others
2673,K10524,-2.538475645,Others
2674,K21199,-2.538475645,Others
2675,K00054,-2.537488188,Others
2676,K02573,-2.534666875,Others
2677,K00177,-2.531845562,Carbon
2678,K03301,-2.5312813,Others
2679,K00525,-2.53099917,Others
2680,K08998,-2.52972958,Others
2681,K04080,-2.52803679,Others
2682,K02494,-2.52662613,Others
2683,K22820,-2.52521547,Others
2684,K00040,-2.520560313,Carbon
2685,K13657,-2.520560313,Others
2686,K18143,-2.520560313,Others
2687,K02318,-2.519149656,Cofactor & Vitamin
2688,K09923,-2.519149656,Others
2689,K09471,-2.5185854,Others
2690,K01475,-2.518162199,Others
2691,K03190,-2.515340886,Others
2692,K07051,-2.508287604,Others
2693,K15503,-2.50730014,Others
2694,K08312,-2.505466293,Others
2695,K16907,-2.504055636,Others
2696,K11475,-2.50264498,Others
2697,K00980,-2.493193584,Others
2698,K12536,-2.490372273,Others
2699,K13277,-2.490372273,Others
2700,K14166,-2.488961616,Others
2701,K21730,-2.484729648,Others
2702,K07454,-2.48233154,Others
2703,K05822,-2.481908335,Others
2704,K14670,-2.481908335,Others
2705,K20329,-2.481908335,Others
2706,K09974,-2.471046284,Others
2707,K01820,-2.468224971,Others
2708,K12264,-2.466814315,Others
2709,K13924,-2.466814315,Others
2710,K16347,-2.465403659,Others
2711,K00836,-2.463993003,Others
2712,K09975,-2.463993003,Others
2713,K02503,-2.45933784,Others
2714,K07265,-2.454541608,Others
2715,K22136,-2.45115603,Others
2716,K07089,-2.4431153,Others
2717,K07316,-2.44128144,Others
2718,K18429,-2.440858244,Others
2719,K21025,-2.43422816,Others
2720,K21196,-2.433804963,Others
2721,K03431,-2.43168897,Carbon
2722,K09874,-2.43098365,Others
2723,K22042,-2.42900874,Others
2724,K07641,-2.426751683,Others
2725,K11258,-2.426751683,Others
2726,K15849,-2.425341026,Carbon
2727,K20345,-2.425341026,Others
2728,K06188,-2.42195545,Others
2729,K08314,-2.413068318,Others
2730,K03605,-2.411657662,Others
2731,K06665,-2.40883635,Others
2732,K03226,-2.406015038,Others
2733,K23237,-2.406015038,Others
2734,K11894,-2.40079561,Others
2735,K21162,-2.39825643,Others
2736,K03428,-2.389510361,Others
2737,K15986,-2.389510361,Others
2738,K19345,-2.389510361,Others
